,word1,word2,prediction
100,asylum,dollar,-0.8791225326018983
101,asylum,shelter,-0.6002396546310131
102,athletics,racing,-0.45472240540970155
103,athletics,swimming,-0.46934724447072196
104,attempt,give,-0.8879678327743031
105,attempt,initiate,-0.7426737393049533
106,attitude,notice,-0.6752171892930496
107,attitude,study,-0.81210201318216
108,attorney,lawyer,-0.0783005683157556
109,auto,bright,-0.8844885697214259
110,automobile,fabric,-0.7437165127481262
111,automobile,racing,-0.5768156041922988
112,autumn,foliage,-0.2932405514694859
113,autumn,hat,-0.6884928789390385
114,autumn,sunshine,-0.30641041171053174
115,autumn,winter,-0.23017034695323924
116,award,citation,-0.3272230946058181
117,baby,treat,-0.6493254408910076
118,back,lumbar,-0.6787069062261759
119,back,shifting,-0.7630844975263287
120,bacon,bread,-0.14315749577094028
121,bacon,pepper,-0.18689573553046446
122,bacon,salad,-0.15703663896635678
123,bacon,tomato,-0.12800820512025668
124,bacon,wild,-0.509131291962156
125,bag,cop,-0.7213092163768797
126,bag,flag,-0.6054867818397772
127,bakery,cake,-0.403270435806131
128,bakery,vehicle,-0.737794594626542
129,balance,gauge,-0.5640853412695845
130,banana,salad,-0.2502058299177288
131,band,guitar,-0.22919315761393122
132,band,metal,-0.6264188791401313
133,band,play,-0.6471506004133245
134,band,uniform,-0.6398415736199564
135,band,vinyl,-0.6088125124263049
136,bank,smell,-0.9658954409339616
137,bankruptcy,enterprise,-0.620598450880187
138,bar,diner,-0.29706638894351256
139,bar,ship,-0.7678548874037676
140,bar,stair,-0.6385091835108387
141,bar,sushi,-0.362041686975506
142,barn,food,-0.6751383364348174
143,barrel,gallon,-0.23179464828336505
144,base,club,-0.714275347974865
145,baseball,born,-0.8210395898328311
146,baseball,cactus,-0.747435837863818
147,baseball,game,-0.40161211777725137
148,baseball,hockey,-0.22748551643202963
149,baseball,season,-0.5481328882676028
150,basket,dinner,-0.6111057597438618
151,basketball,lesson,-0.7640094019740411
152,basketball,squash,-0.7181079999864461
153,bat,bats,-0.26807267541066526
154,bath,bedroom,-0.4048907726562274
155,bath,floor,-0.4731631343693261
156,bath,hot,-0.38742139194762837
157,bath,sleep,-0.5876977582244814
158,bathroom,chamber,-0.6510372908258368
159,bay,curve,-0.8009823914912633
160,bay,harbour,-0.38680756460528565
161,beach,cliff,-0.4808209547065695
162,beach,pebble,-0.49426195441173193
163,bead,chess,-0.7504647185569044
164,bead,gold,-0.6322001610347147
165,bead,redhead,-0.7532448607230879
166,beam,column,-0.7150028531955015
167,beard,hair,-0.240255646863882
168,beat,meter,-0.7438818223134467
169,bed,candy,-0.5659135331135947
170,bed,floor,-0.3738478603772202
171,bed,furniture,-0.4862657466805782
172,bed,layer,-0.5727816930663612
173,bed,pillow,-0.27187146111665206
174,bed,relax,-0.6033696422606241
175,bed,sitting,-0.3296092273622351
176,bed,staircase,-0.498087793028396
177,bedroom,canyon,-0.6687869387431945
178,bedroom,ceiling,-0.38307281016394246
179,bedroom,cell,-0.6833829418683628
180,bedroom,construction,-0.8521109161982878
181,bedroom,door,-0.3024969718137821
182,bedroom,downtown,-0.662579425222221
183,bedroom,room,-0.18601812113093585
184,bedroom,stair,-0.525588491394539
185,bedroom,staircase,-0.37508465200296237
186,beef,chicken,-0.0974931958441777
187,beef,lamb,-0.14546312252796578
188,beef,pepper,-0.27211354805950616
189,beef,potato,-0.19060665792420828
190,beer,patio,-0.5293067152590958
191,beer,wild,-0.5689238529939382
192,being,characters,-0.7138363772651886
193,believe,week,-0.9362887154305354
194,belly,black,-0.46810809853337065
195,belly,dance,-0.5427206731084032
196,belly,dark,-0.4291074231528551
197,belly,field,-0.7598847675694416
198,belly,stripe,-0.5794939509426231
199,bench,game,-0.44732086972262464
200,benefited,get,-0.8556702566681624
201,bent,double,-0.6731133892241116
202,bent,inclination,-0.6524090926370512
203,berlin,germany,-0.49043783530368
204,berry,blossom,-0.47804544948052474
205,berry,bright,-0.5899256204229996
206,berry,dessert,-0.4472076222592113
207,berry,ivy,-0.5775472856520851
208,berry,raspberry,-0.367054996966813
209,berry,seed,-0.558252166062426
210,berry,sweet,-0.3989865268781154
211,bias,prejudice,-0.21414685053403593
212,bible,misty,-0.7219153667463529
213,bicycle,green,-0.6451086907424037
214,bigger,large,-0.415934462414296
215,bike,chopper,-0.5695045662288296
216,bikini,ivy,-0.6746225560893865
217,bin,cup,-0.9209126599231786
218,bird,cock,-0.5316199165344697
219,bird,dragonfly,-0.5744856007610308
220,bird,flamingo,-0.6026140662231283
221,bird,goose,-0.386152486109554
222,bird,insect,-0.37940241280832154
223,bird,reptile,-0.3522125247274036
224,bird,shade,-0.6368128927138164
225,bird,solid,-0.7759891345267096
226,bishop,priest,-0.22919905615970015
227,bishop,radical,-0.7947640360428283
228,bishop,wine,-0.8825128269659459
229,bit,curb,-0.8337894784038362
230,bit,tool,-0.7525239605955211
231,bitter,taste,-0.5477605840344528
232,black,blue,-0.18686319323058076
233,black,bright,-0.31756991014245495
234,black,brown,-0.35288731639395365
235,black,cigarette,-0.6206378955910877
236,black,juvenile,-0.745855367604814
237,black,skirt,-0.2628191531860007
238,black,white,-0.12493315554478968
239,blast,smashing,-0.5575811900165899
240,blaze,pig,-0.7867057650322559
241,blessing,patronage,-0.5905271488372774
242,blizzard,rash,-0.5497028988129966
243,block,hinder,-0.466474896125217
244,blonde,haircut,-0.3917910126612192
245,blonde,wig,-0.3689474465319239
246,bloom,flower,-0.3421331372092278
247,bloom,friend,-0.6561418726978174
248,bloom,plant,-0.5440167363159898
249,bloom,purple,-0.5082445068784032
250,blossom,bud,-0.5033538469671405
251,blossom,cherry,-0.30467841988324373
252,blossom,daisy,-0.4230177564007318
253,blossom,foliage,-0.41852913088709964
254,blossom,orange,-0.37440429539204556
255,blossom,petal,-0.4202473646303765
256,blossom,purple,-0.4387216928278853
257,blow,contact,-0.8816910243005393
258,blow,swat,-0.7420813959605568
259,blowing,smoking,-0.6420062818297785
260,blue,colour,-0.5966225463447895
261,blue,happy,-0.8613450064165196
262,blue,report,-0.951176978316094
263,blue,shade,-0.3297466119622189
264,blue,skirt,-0.28719541033083085
265,blues,rhythm,-0.34633091574958774
266,blur,focus,-0.6181439774218309
267,blur,metro,-0.7288389851938015
268,board,deal,-0.7022556411383412
269,boardwalk,park,-0.31384194723509073
270,boast,complain,-0.5761715603588795
271,boat,negro,-0.8081679541048503
272,boat,shore,-0.3393497673478393
273,bold,forward,-0.7255380414218571
274,bold,leader,-0.8343417501879173
275,bone,skull,-0.26807333542834566
276,book,building,-0.8606988552473431
277,book,smoking,-0.8304471156226894
278,booklet,reference,-0.5018443931330576
279,boot,kick,-0.5781514980457169
280,boot,punch,-0.5646055095850302
281,bootleg,produce,-0.6109155662731138
282,bootleg,whiskey,-0.4602228918108616
283,born,construction,-0.8926034554913596
284,born,mother,-0.4200004907525693
285,born,subway,-0.8570415080335815
286,bottle,wine,-0.29033896316283736
287,bound,line,-0.6859346803191986
288,bound,skirt,-0.7037196883076935
289,bowling,wheel,-0.6996859660663115
290,boxer,stair,-0.7336805677006216
291,boxing,hit,-0.7907699585811744
292,boy,hand,-0.6251388655490053
293,boy,live,-0.6847316066773927
294,bracelet,jewelry,-0.3727430871933751
295,bracelet,mountain,-0.7726220765419919
296,brain,head,-0.7195641596601234
297,brake,click,-0.7084431433594832
298,branch,tea,-0.7784458984435404
299,brass,executive,-0.8658469097136143
300,brazil,nut,-0.7995254017447254
301,brazil,triple,-0.7217133287083731
302,bread,bun,-0.32810380646615567
303,bread,cooking,-0.22163768759521885
304,bread,cover,-0.48810585970532694
305,bread,dessert,-0.18026764202024104
306,bread,egg,-0.14463113673999084
307,bread,medicine,-0.7901265642942454
308,break,glittering,-0.740888969336691
309,break,scattered,-0.7589795198598754
310,breakfast,diner,-0.31374029128352166
311,breakfast,evening,-0.549884315423957
312,breakfast,lunch,-0.10097813701400726
313,breakfast,makeup,-0.7658931071491826
314,breakfast,morning,-0.6093109057994549
315,breakfast,people,-0.8690528449955572
316,breakfast,relax,-0.6552830653785939
317,brick,cement,-0.30360239776480913
318,brick,construction,-0.5962926255992396
319,brick,skyscraper,-0.4266015863953634
320,bride,photographer,-0.505424373848528
321,bright,dark,-0.21981989685807735
322,bright,fruit,-0.5528303101439385
323,bright,mist,-0.5208109133431285
324,bright,raspberry,-0.5339791346715066
325,bright,shade,-0.3088887984622398
326,bright,sky,-0.3853723785021136
327,bring,presenting,-0.7302525151807686
328,bring,return,-0.5232156194899877
329,broadcast,packet,-0.7940757400940103
330,bronze,sculpture,-0.433104261550032
331,bronze,suspicion,-0.912610540395486
332,brown,green,-0.23549728513173773
333,brown,hawk,-0.6203177783730001
334,brown,purple,-0.3982136130862186
335,brown,white,-0.2797422890867298
336,brussels,sweden,-0.6589090898597986
337,bucket,water,-0.3357911767026117
338,bud,flower,-0.5312467852213856
339,bud,ivy,-0.537608419965209
340,budget,fund,-0.5895104654855087
341,budget,scale,-0.6057400273187781
342,bug,insect,-0.25232449644989063
343,building,cafe,-0.6078966335304041
344,building,construction,-0.31410940487481875
345,building,downtown,-0.3304887503804613
346,building,floor,-0.43280747693735877
347,building,ministry,-0.8583475918919332
348,building,tall,-0.576206912983063
349,building,zombie,-0.8828518810477545
350,burger,cooking,-0.46262433702339134
351,burger,dessert,-0.3783370186995605
352,burger,salad,-0.33850100201700983
353,burger,soup,-0.3614588265260481
354,burn,fire,-0.4740534371876506
355,burn,ripple,-0.7253998571293546
356,bus,rail,-0.28641368139801116
357,business,railway,-0.7256760834333484
358,butter,stick,-0.46686618427389726
359,butterfly,caterpillar,-0.6179079551918831
360,butterfly,dragonfly,-0.5077375529378195
361,butterfly,glittering,-0.5566282687120441
362,button,sticker,-0.5192899855912085
363,cafe,child,-0.8528842917745163
364,cafe,coffee,-0.3537558003340068
365,cafe,dinner,-0.36411789388482607
366,cafe,donut,-0.5460094209580478
367,cafe,lunch,-0.31783592802194227
368,cafe,pub,-0.20793117273229467
369,cafe,reflection,-0.8020463258706069
370,cafe,relax,-0.6953849612550652
371,cafe,shop,-0.35507457001157294
372,cafe,spiral,-0.731878786668434
373,cake,christmas,-0.556944505307188
374,call,meeting,-0.8125637522972688
375,call,statement,-0.7825141085116214
376,call,telephone,-0.46422877035559607
377,camel,desert,-0.5798947716908858
378,camp,camp,0.0
379,campaign,conspiracy,-0.7239077536641338
380,can,sketch,-0.7776820810536311
381,candidate,republic,-0.7545332005957952
382,canine,dog,-0.40074634869090686
383,canyon,landscape,-0.5099803435177306
384,canyon,river,-0.2125762624105637
385,car,insurance,-0.7557801594363366
386,car,pig,-0.7645907583853382
387,car,skull,-0.6962503479378851
388,card,playing,-0.7725897504213112
389,card,see,-0.8510429118988664
390,carrier,carrier,0.0
391,carrier,traveler,-0.6758983164341879
392,carrier,vehicle,-0.6335633474188229
393,carrot,memorial,-0.9116452622422249
394,carrot,salad,-0.15159980765032044
395,cart,wagon,-0.3956600464594314
396,cartoon,wit,-0.5706024899598641
397,case,clients,-0.9090269289019429
398,cast,cast,0.0
399,cast,shoot,-0.7289043046439918
400,castle,patio,-0.5187773504634607
401,castle,ruin,-0.6446960950357751
402,cat,garden,-0.6258042301558009
403,catch,catching,-0.22104025506080183
404,catch,hooks,-0.5310406250982469
405,catching,perceive,-0.7155674764084206
406,catching,playing,-0.5391327042749504
407,category,flavor,-0.7589284704491879
408,catering,loan,-0.7651642688916958
409,caterpillar,paint,-0.6832278811713438
410,cathedral,step,-0.8373319724810975
411,cattle,goat,-0.5189038214314843
412,cattle,web,-0.9084555862458761
413,cautious,film,-0.8387131497956971
414,ceiling,marble,-0.2932440140835685
415,ceiling,mug,-0.7051547914510194
416,ceiling,room,-0.42609892015639983
417,ceiling,staircase,-0.31750324256506324
418,ceiling,wall,-0.29388794107717975
419,cell,membrane,-0.4580788453215049
420,cemetery,grave,-0.40762488062661606
421,cemetery,memorial,-0.2762288644842005
422,center,center,0.0
423,center,refer,-0.8280493190919065
424,century,period,-0.7082797759165445
425,century,temperature,-0.8839716374935287
426,ceramic,floor,-0.470354806441282
427,chance,fortune,-0.7450717136383574
428,chance,opportunity,-0.2956136685581242
429,chance,ring,-0.8150566995492492
430,change,laundering,-0.8679266339692464
431,change,transforming,-0.5894792216963524
432,change,yielding,-0.7175188612224184
433,channel,sound,-0.7416997301981278
434,chaos,death,-0.6182477312950134
435,chapel,porch,-0.4659011286116934
436,chapel,ruin,-0.6915039821043177
437,charcoal,fuel,-0.649649220565571
438,charge,damage,-0.808457200663596
439,charge,sentence,-0.41114617060891834
440,checked,checked,0.0
441,cheer,musician,-0.7174045039749566
442,cheese,food,-0.41414286879143425
443,cheetah,flame,-0.7655789666638514
444,chemical,intermediate,-0.6921941182666117
445,chemistry,patient,-0.7233821691843167
446,cherry,fruit,-0.21121363728239617
447,cherry,grape,-0.19999285648525555
448,cherry,lamb,-0.3436861107332233
449,cherry,meat,-0.4462539038138601
450,cherry,orange,-0.22563351527983555
451,cherry,raspberry,-0.20021917833953184
452,chess,family,-0.7902188825189747
453,chess,toy,-0.6832702069837713
454,chicken,lamb,-0.09791780141103612
455,chicken,poultry,-0.34398287620194323
456,chief,guru,-0.4358549777169065
457,child,lad,-0.5952007382817458
458,child,street,-0.835345920023956
459,chile,plate,-0.5781341138666918
460,chocolate,rock,-0.663306298586709
461,choice,option,-0.41083404755192354
462,chopper,poppy,-0.7589663203232058
463,chord,play,-0.6832990541269173
464,christmas,valentine,-0.606073533544478
465,church,porch,-0.671179269599136
466,church,temple,-0.2650813276232381
467,circle,oval,-0.4493487600610546
468,circle,sport,-0.7321023287430417
469,city,round,-0.8642349626247093
470,city,ruin,-0.7556347464894981
471,city,sidewalk,-0.661320543472353
472,city,square,-0.47598178330942487
473,city,urban,-0.5488396610945749
474,class,sex,-0.6017094835961767
475,cliff,coast,-0.6465695729136511
476,cliff,harbour,-0.48580946004842585
477,cliff,waterfall,-0.44152142020118135
478,clinic,session,-0.8174852571087895
479,clock,timer,-0.36619019650853024
480,close,short,-0.7041770426675212
481,closed,closed,0.0
482,closed,state,-0.8462595108069942
483,closed,up,-0.6980526498668016
484,closing,closing,0.0
485,closing,finale,-0.7265572124932573
486,clothes,short,-0.6313709014229328
487,cloud,energy,-0.776969555235156
488,club,hockey,-0.4611291224516957
489,club,shirt,-0.773736687945371
490,clubhouse,pop,-0.7076731180562748
491,clue,parish,-0.8324728791053461
492,coast,scenery,-0.7682379688812424
493,coast,sunk,-0.5367776449016033
494,coast,zebra,-0.8754668141659889
495,coat,resurfacing,-0.820797086831451
496,coat,roof,-0.5888265400362132
497,cock,penis,-0.7184695441241624
498,cocktail,garage,-0.731744020116858
499,cocktail,restaurant,-0.405988133381358
500,coffee,meeting,-0.8895971763151347
501,coffee,tea,-0.12577031249424175
502,coin,gold,-0.475309448532657
503,coin,silver,-0.49871307056470326
504,coin,ticket,-0.6587494306301398
505,cold,mist,-0.4237752852284018
506,cold,rain,-0.500487999888189
507,cold,silver,-0.7509662608413018
508,cold,sunny,-0.5067544599752452
509,cold,sunshine,-0.41513918707007713
510,cold,water,-0.34517188396727483
511,cold,weather,-0.4573438955048933
512,cold,winter,-0.4017924399036784
513,coldness,cool,-0.716723967982988
514,collage,exhibition,-0.50082359226907
515,collage,paint,-0.49073748252407434
516,collage,sculpture,-0.36156676492124507
517,collage,stream,-0.6964577716933991
518,collapse,shock,-0.5701006910452577
519,collar,tiger,-0.642931530876574
520,collect,collect,0.0
521,collect,scrape,-0.6389282687852971
522,collection,library,-0.44338178794432137
523,collection,packet,-0.6802893536534649
524,color,quality,-0.5649370549261585
525,color,wash,-0.5660160051382037
526,colorful,outfit,-0.4095809990003251
527,colorful,shot,-0.8249525012534733
528,colorful,toy,-0.5061662343427482
529,colorful,wood,-0.4740308770606593
530,colors,emblem,-0.5547413709346085
531,colour,grey,-0.5936270771787346
532,colour,shade,-0.4982414399193058
533,comfort,relief,-0.5891706992602557
534,comment,mention,-0.5496513082320977
535,commercial,manufacture,-0.5109762074994186
536,commitment,guarantee,-0.5099478377135734
537,communication,theater,-0.8108091109108657
538,compact,short,-0.6219514299676205
539,company,distributor,-0.2836003449243366
540,compartment,stalls,-0.5953381202737812
541,compatible,software,-0.3282125146500299
542,competes,race,-0.6012507600004372
543,compound,enhance,-0.8697662216137902
544,compound,whole,-0.8575339061904949
545,computer,lab,-0.5333732544981125
546,computer,number,-0.7783242486134709
547,computer,platform,-0.6049971611492935
548,computer,railway,-0.7413012726054791
549,concentration,focus,-0.5913371966788638
550,concert,jazz,-0.28681253339969937
551,concert,sing,-0.455322816871391
552,concerts,settle,-0.9468279718007733
553,conclusion,judgment,-0.4198545183710891
554,conclusion,situation,-0.44194295392193195
555,concoct,request,-0.8575454870865229
556,concrete,interior,-0.6296005345559028
557,concrete,pin,-0.6737207477526725
558,cone,palm,-0.7411913796280477
559,congress,sex,-0.8370053956901998
560,connection,keyboard,-0.7130733112014481
561,consequences,position,-0.6647059508369326
562,consistency,phase,-0.8191129358281128
563,construction,downtown,-0.5500049966014411
564,construction,interior,-0.7365658907953199
565,contact,print,-0.8380092905663334
566,control,driving,-0.7471441270398262
567,cooking,dessert,-0.3011776698583011
568,cooking,eat,-0.359968302742832
569,cooking,food,-0.3255179326132014
570,cooking,frozen,-0.3392343591548028
571,cooking,salad,-0.24730578489795674
572,cool,cool,0.0
573,cool,jazz,-0.7084290978490557
574,cool,state,-0.9390131703679715
575,cop,dirty,-0.5535668076972928
576,cop,music,-0.6792928081240805
577,cop,ruin,-0.6867365048127567
578,cord,eclipse,-0.7624390371249026
579,corn,pepper,-0.24365855425144534
580,cost,price,-0.31855305541825363
581,costume,halloween,-0.38282934173428795
582,costume,radiation,-0.8833442279208923
583,cottage,patio,-0.3656531042143858
584,council,minister,-0.5450210064203134
585,count,investigation,-0.6115198305721481
586,count,number,-0.6692855693672449
587,counter,furniture,-0.6245798674124201
588,counter,negative,-0.6795895493939912
589,couple,family,-0.4954393545532788
590,couple,makeup,-0.7406710812949979
591,couple,race,-0.8381360657767665
592,cousin,relation,-0.6490944260947675
593,cover,feather,-0.659658039701412
594,cover,sleeve,-0.6350208591326187
595,covering,skin,-0.4932288458108046
596,cowboys,ranch,-0.777065207661165
597,crack,cracking,-0.289309904482831
598,cracking,noise,-0.5147551360825209
599,cracking,sound,-0.6283283848350079
600,craft,game,-0.8732100280026753
601,crane,stair,-0.6126354325903649
602,crash,swing,-0.817235191914304
603,creation,stitch,-0.7399556246866793
604,credit,flap,-0.865900333415596
605,credit,foundation,-0.7510133335178876
606,crew,unit,-0.675636386359209
607,critic,reviewers,-0.5989432409544748
608,crochet,family,-0.8099305945289497
609,crochet,jewelry,-0.649144472247461
610,crochet,knitting,-0.3656589452133693
611,cross,mug,-0.7415010695036137
612,cross,post,-0.6685729595284193
613,cross,pub,-0.7095268021706975
614,cross,shopping,-0.7807855857186057
615,crush,push,-0.5784993115729669
616,crush,split,-0.6015115295327974
617,crystal,spiral,-0.5763101351132789
618,cube,dice,-0.4796827924699292
619,cup,handbag,-0.8943893616286417
620,curb,smother,-0.5656748922948949
621,curb,train,-0.7981578188720129
622,current,flow,-0.6455358157774487
623,cut,gore,-0.8714417329142045
624,cute,fashion,-0.5244956246144116
625,cute,friend,-0.6208241226798421
626,cute,fun,-0.37033037507570665
627,cute,haircut,-0.4269418941110752
628,cylinder,pen,-0.6529308663401017
629,daisy,foliage,-0.6246336704442457
630,daisy,grass,-0.6085353294204774
631,daisy,petal,-0.5430150190553444
632,dance,hotel,-0.7284352093353124
633,dandelion,foliage,-0.6225366093336308
634,dandelion,grass,-0.5211168264547491
635,dandelion,petal,-0.5987883047381424
636,danger,status,-0.7124244790074623
637,dark,flamingo,-0.7044693729627416
638,dark,pod,-0.5943538881216827
639,dark,white,-0.2710798644425584
640,dashboard,protection,-0.8225400418614582
641,daughter,graphic,-0.8692858483799091
642,daughter,pub,-0.763170972184487
643,dawn,day,-0.5039987214440933
644,day,glide,-0.7776019762189774
645,day,horse,-0.7657624627729152
646,day,independence,-0.7195069453558505
647,day,night,-0.39150535697853617
648,day,sunny,-0.583769518870183
649,day,sunset,-0.5583267654695121
650,day,weather,-0.6406175975064876
651,dead,sidewalk,-0.6697810604258307
652,deaf,people,-0.6300577344472575
653,death,funeral,-0.5621298150219698
654,decision,option,-0.5991153254665613
655,decoration,tulip,-0.5706867814423954
656,defeat,ending,-0.626934451112519
657,defeated,people,-0.9591327368376564
658,degree,quantity,-0.6676629642662693
659,demand,supply,-0.3128000856734936
660,demolition,interior,-0.7262879844787511
661,demolition,skyscraper,-0.5059283414526932
662,demolition,tall,-0.7353713406316846
663,desert,mountain,-0.22952638259707847
664,deserve,merit,-0.3565477051670404
665,deserve,want,-0.4961506105354201
666,design,graphic,-0.6075995251868769
667,design,orange,-0.703926285449181
668,designation,recognition,-0.4989581368373567
669,designs,intend,-0.8189626423905387
670,dessert,head,-0.7968005148473611
671,dessert,salad,-0.1514047147383889
672,determination,selection,-0.7898583385354113
673,development,twist,-0.8231302142198469
674,diamond,parade,-0.7022069011215368
675,diamond,short,-0.6647811355194648
676,diamond,stencil,-0.7716435775354937
677,difficulty,problem,-0.4084561265541218
678,digit,toe,-0.7597134013169721
679,dilute,market,-0.6232862010971045
680,dinner,sitting,-0.6134252923780689
681,dinner,sleep,-0.7026825488373123
682,direction,direction,0.0
683,direction,traveling,-0.8314996529166858
684,dirt,racing,-0.6747000885069786
685,dirt,road,-0.3931149967233344
686,dirt,sand,-0.1660346007692597
687,dirty,dude,-0.5398764632666799
688,dirty,rabbit,-0.5952580208271254
689,dirty,washing,-0.3311139823695277
690,discharge,spread,-0.7357358555522489
691,discipline,discipline,0.0
692,disk,dot,-0.64979000349403
693,display,stick,-0.7423876021394918
694,dissipate,isolate,-0.6598009750618348
695,distinction,sword,-0.7201050206148171
696,distinguish,medal,-0.8935324862700365
697,distinguish,sex,-0.6879029316513894
698,disturbance,upset,-0.8048752117772718
699,diversion,skiing,-0.7238226434900372
700,dock,herb,-0.7507330586456344
701,dog,husky,-0.5181952395702076
702,dog,secretary,-0.9165241870367598
703,doll,new,-0.7428242469852953
704,dome,interior,-0.5684560192935331
705,dome,uniform,-0.7155853603710924
706,donut,panda,-0.6531054063130701
707,door,interior,-0.6608908439999143
708,door,porch,-0.3402725849481557
709,door,room,-0.36174591935355715
710,downtown,field,-0.7211947158221131
711,downtown,hockey,-0.8129927553091423
712,downtown,ruin,-0.7362015287530876
713,downtown,shopping,-0.37836562603706625
714,downtown,subway,-0.4034283542719831
715,drag,drawing,-0.6286618076963423
716,dragon,drop,-0.832278378774674
717,dragonfly,frog,-0.4660711359447087
718,dragonfly,insect,-0.4837095558418818
719,draw,draw,0.0
720,draw,entertainer,-0.8468743455680102
721,dress,match,-0.8369356967764433
722,dress,neckline,-0.22621387655010528
723,dress,outfit,-0.17043422593696633
724,dressing,patch,-0.5492058896437743
725,drill,implement,-0.780000969039798
726,drink,turn,-0.6710280395426451
727,dripping,hot,-0.40980026587425444
728,dripping,round,-0.8518718833246803
729,dripping,wet,-0.34662380481516575
730,drive,drive,0.0
731,drive,operate,-0.6564571465951134
732,drop,drop,0.0
733,drop,measure,-0.744540199922608
734,drop,sink,-0.6527130923191725
735,dropping,dropping,0.0
736,drought,time,-0.7612691300552888
737,drug,reflection,-0.8861975087303915
738,drug,sing,-0.9457358406302723
739,drug,wolf,-0.8813660194739917
740,dude,fun,-0.42601080046820694
741,dude,hanging,-0.5969915110010178
742,dude,sitting,-0.6089050053989962
743,dude,smile,-0.578972204153796
744,dusk,hummingbird,-0.6791850746018637
745,dusk,misty,-0.36659040976623314
746,dye,kiss,-0.6324610043660668
747,eagle,feather,-0.5137857534475361
748,ear,organ,-0.5192250036020427
749,earn,make,-0.6370831977197665
750,ease,relaxation,-0.5339475795184123
751,ease,rest,-0.7514566134294436
752,east,israel,-0.6909498041361388
753,easter,preference,-0.7776272765861977
754,eat,rabbit,-0.4603240358633659
755,eat,soup,-0.27361775538917055
756,eat,truck,-0.8273021668828257
757,educated,learned,-0.6826529185790335
758,effects,effects,0.0
